"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"21360","107277920","LOC107277920","6","uncharacterized LOC107277920","protein-coding","Os06g0134100","LOC_Os06g04310"
"21361","4340029","LOC4340029","6","uncharacterized LOC4340029","protein-coding","Os06g0134300","LOC_Os06g04330"
"21362","9266746","LOC9266746","6","uncharacterized LOC9266746","protein-coding","Os06g0134400","LOC_Os06g04340"
"21363","9272651","LOC9272651","6","uncharacterized LOC9272651","protein-coding","Os06g0134466","LOC_Os06g04350"
"21364","4340031","LOC4340031","6","uncharacterized LOC4340031","protein-coding","Os06g0134500","LOC_Os06g04360"
"21365","4340032","LOC4340032","6","LRR receptor-like serine/threonine-protein kinase GSO1","protein-coding","Os06g0134700","LOC_Os06g04370"
"21366","4340033","LOC4340033","6","putative transferase At4g12130, mitochondrial","protein-coding","Os06g0134800","LOC_Os06g04380"
"21367","4340034","LOC4340034","6","uncharacterized LOC4340034","protein-coding","Os06g0134900","LOC_Os06g04390"
"21368","4340037","LOC4340037","6","probable protein transport Sec1b","protein-coding","Os06g0135900","LOC_Os06g04450"
"21369","4340038","LOC4340038","6","hypersensitive-induced response protein 4","protein-coding","Os06g0136000","LOC_Os06g04460"
"21370","4340039","LOC4340039","6","uncharacterized LOC4340039","protein-coding","Os06g0136100","LOC_Os06g04470"
"21371","4340040","LOC4340040","6","uncharacterized protein At4g22758","protein-coding","Os06g0136300","LOC_Os06g04480"
"21372","4340041","LOC4340041","6","protein cornichon homolog 4","protein-coding","Os06g0136500","LOC_Os06g04500"
"21373","4340042","LOC4340042","6","enolase 1","protein-coding","Os06g0136600","LOC_Os06g04510"
"21374","4340043","LOC4340043","6","WASH complex subunit 4","protein-coding","Os06g0136700","LOC_Os06g04520"
"21375","4340044","LOC4340044","6","ATP-dependent Clp protease proteolytic subunit-related protein 2, chloroplastic","protein-coding","Os06g0136800","LOC_Os06g04530"
"21376","4340045","LOC4340045","6","AT-hook motif nuclear-localized protein 18","protein-coding","Os06g0136900","LOC_Os06g04540"
"21377","9270139","LOC9270139","6","kinesin-like protein KIN-UB","protein-coding","Os06g0137100","LOC_Os06g04560"
"21378","4340047","LOC4340047","6","transcription initiation factor TFIID subunit 14b","protein-coding","Os06g0137300","LOC_Os06g04580"
"21379","107278599","LOC107278599","6","auxin-responsive protein SAUR50","protein-coding","Os06g0137400","LOC_Os06g04590"
"21380","4340048","LOC4340048","6","ribosome production factor 1","protein-coding","Os06g0137500","LOC_Os06g04600"
"21381","4340049","LOC4340049","6","probable ribosome-binding factor A, chloroplastic","protein-coding","Os06g0137600","LOC_Os06g04610"
"21382","4340050","LOC4340050","6","GDP-mannose 4,6 dehydratase 1","protein-coding","Os06g0137700","LOC_Os06g04620"
"21383","4340051","LOC4340051","6","transcription factor GTE1","protein-coding","Os06g0138000","LOC_Os06g04640"
"21384","4340052","LOC4340052","6","peptide methionine sulfoxide reductase A5-like","protein-coding","Os06g0138100","LOC_Os06g04650"
"21385","4340053","LOC4340053","6","uncharacterized LOC4340053","protein-coding","Os06g0138200","LOC_Os06g04660"
"21386","107275402","LOC107275402","6","probable CCR4-associated factor 1 homolog 11","protein-coding","Os06g0138400","LOC_Os06g04670"
"21387","9270467","LOC9270467","6","uncharacterized LOC9270467","protein-coding","Os06g0138600","LOC_Os06g04680"
"21388","4340057","LOC4340057","6","uncharacterized LOC4340057","protein-coding","Os06g0138700","LOC_Os06g04690"
"21389","4340058","LOC4340058","6","uncharacterized LOC4340058","protein-coding","Os06g0138900","LOC_Os06g04699"
"21390","4340059","LOC4340059","6","uncharacterized LOC4340059","protein-coding","Os06g0139000","LOC_Os06g04710"
"21391","4340063","LOC4340063","6","coiled-coil domain-containing protein 97","protein-coding","Os06g0139700","LOC_Os06g04780"
"21392","4340064","LOC4340064","6","acid phosphatase 1","protein-coding","Os06g0139800","LOC_Os06g04790"
"21393","4340065","LOC4340065","6","proteasome subunit beta type-6","protein-coding","Os06g0139900","LOC_Os06g04800"
"21394","4340066","LOC4340066","6","leucine carboxyl methyltransferase 1 homolog","protein-coding","Os06g0140100","LOC_Os06g04820"
"21395","4340067","LOC4340067","6","receptor-like protein EIX2","protein-coding","Os06g0140200","LOC_Os06g04830"
"21396","4340068","LOC4340068","6","receptor-like protein 1","protein-coding","Os06g0140300","LOC_Os06g04840"
"21397","4340069","LOC4340069","6","homeobox-leucine zipper protein HOX28-like","protein-coding","Os06g0140400","LOC_Os06g04850"
"21398","4340070","LOC4340070","6","homeobox-leucine zipper protein HOX2-like","protein-coding","Os06g0140700","LOC_Os06g04870"
"21399","4340071","LOC4340071","6","U-box domain-containing protein 35","protein-coding","Os06g0140800","LOC_Os06g04880"
"21400","4340073","LOC4340073","6","hexose carrier protein HEX6","protein-coding","Os06g0141100","LOC_Os06g04900"
"21401","4340074","LOC4340074","6","nudix hydrolase 19, chloroplastic","protein-coding","Os06g0141166","LOC_Os06g04910"
"21402","4340075","LOC4340075","6","uncharacterized RNA-binding protein C17H9.04c","protein-coding","Os06g0141200","LOC_Os06g04920"
"21403","4340077","LOC4340077","6","early nodulin-93","protein-coding","Os06g0141400","LOC_Os06g04930"
"21404","4340079","LOC4340079","6","early nodulin-93","protein-coding","Os06g0141600","LOC_Os06g04940"
"21405","4340081","LOC4340081","6","uncharacterized LOC4340081","protein-coding","Os06g0142050","LOC_Os06g04970"
"21406","4340082","LOC4340082","6","uncharacterized LOC4340082","protein-coding","Os06g0142100","LOC_Os06g04980"
"21407","4340083","LOC4340083","6","early nodulin-93","protein-coding","Os06g0142200","LOC_Os06g04990"
"21408","4340084","LOC4340084","6","early nodulin-93","protein-coding","Os06g0142300","LOC_Os06g05000"
"21409","9271477","LOC9271477","6","early nodulin-93","protein-coding","Os06g0142350","LOC_Os06g05010"
"21410","4340085","LOC4340085","6","early nodulin-93","protein-coding","Os06g0142400","LOC_Os06g05020"
"21411","4340086","LOC4340086","6","wall-associated receptor kinase 5","protein-coding","Os06g0142500","LOC_Os06g05050"
"21412","4340087","LOC4340087","6","protein HEADING DATE 3B-like","protein-coding","Os06g0142600","LOC_Os06g05060"
"21413","9269484","LOC9269484","6","probable receptor-like protein kinase At5g20050","protein-coding","Os06g0142650","LOC_Os06g05070"
"21414","4340088","LOC4340088","6","putative cytochrome c oxidase subunit 5b-like","protein-coding","Os06g0142700","LOC_Os06g05080"
"21415","4340089","LOC4340089","6","protein arginine N-methyltransferase PRMT10-like","protein-coding","Os06g0142800","LOC_Os06g05090"
"21416","4340090","LOC4340090","6","probable 1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic","protein-coding","Os06g0142900","LOC_Os06g05100"
"21417","4340091","LOC4340091","6","superoxide dismutase [Fe] 2, chloroplastic-like","protein-coding","Os06g0143000","LOC_Os06g05110"
"21418","4340093","LOC4340093","6","palmitoyl-acyl carrier protein thioesterase, chloroplastic","protein-coding","Os06g0143400","LOC_Os06g05130"
"21419","107277619","LOC107277619","6","pentatricopeptide repeat-containing protein At1g53600, mitochondrial","protein-coding","Os06g0143500","LOC_Os06g05140"
"21420","107281411","LOC107281411","6","pre-mRNA splicing factor SR-like 1","protein-coding","Os06g0143600","LOC_Os06g05150"
"21421","4340095","LOC4340095","6","probable sulfate transporter 3.4","protein-coding","Os06g0143700","LOC_Os06g05160"
"21422","4340097","LOC4340097","6","coatomer subunit beta'-1-like","protein-coding","Os06g0143900","LOC_Os06g05180"
"21423","4340098","LOC4340098","6","DNA-repair protein XRCC1","protein-coding","Os06g0144000","LOC_Os06g05190"
"21424","4340099","LOC4340099","6","pectate lyase","protein-coding","Os06g0144200","LOC_Os06g05209"
"21425","4340100","LOC4340100","6","carboxypeptidase SOL1","protein-coding","Os06g0144600","LOC_Os06g05240"
"21426","4340102","LOC4340102","6","translation factor GUF1 homolog, mitochondrial-like","protein-coding","Os06g0144800","LOC_Os06g05250"
"21427","4340103","LOC4340103","6","pectate lyase","protein-coding","Os06g0144900","LOC_Os06g05260"
"21428","4340106","LOC4340106","6","uncharacterized LOC4340106","protein-coding","Os06g0145200","LOC_Os06g05284"
"21429","107276930","LOC107276930","6","anthocyanin 5-aromatic acyltransferase","protein-coding","Os06g0145400","LOC_Os06g05310"
"21430","4340108","LOC4340108","6","anthocyanin 5-aromatic acyltransferase","protein-coding","Os06g0145600","LOC_Os06g05320"
"21431","107276031","LOC107276031","6","AP2-like ethylene-responsive transcription factor At1g16060","protein-coding","Os06g0145700","LOC_Os06g05340"
"21432","4340109","LOC4340109","6","single-stranded DNA-binding protein WHY1, chloroplastic","protein-coding","Os06g0145800","LOC_Os06g05350"
"21433","112939394","LOC112939394","6","uncharacterized LOC112939394","protein-coding","Os06g0145950","LOC_Os06g05355"
"21434","4340110","LOC4340110","6","putative disease resistance RPP13-like protein 3","protein-coding","Os06g0146100","LOC_Os06g05359"
"21435","107276380","LOC107276380","6","probable WRKY transcription factor 72","protein-coding","Os06g0146250","LOC_Os06g05380"
"21436","4340113","LOC4340113","6","iron-sulfur assembly protein IscA, chloroplastic","protein-coding","Os06g0146400","LOC_Os06g05400"
"21437","4340115","LOC4340115","6","uncharacterized LOC4340115","protein-coding","Os06g0146600","LOC_Os06g05410"
"21438","4340119","LOC4340119","6","uncharacterized LOC4340119","protein-coding","Os06g0147000","LOC_Os06g05430"
"21439","4340120","LOC4340120","6","uncharacterized LOC4340120","protein-coding","Os06g0147100","LOC_Os06g05440"
"21440","4340122","LOC4340122","6","uncharacterized LOC4340122","protein-coding","Os06g0147300","LOC_Os06g05470"
"21441","4340123","LOC4340123","6","uncharacterized LOC4340123","protein-coding","Os06g0147400","LOC_Os06g05480"
"21442","4340124","LOC4340124","6","uncharacterized LOC4340124","protein-coding","Os06g0147600","LOC_Os06g05510"
"21443","4340126","LOC4340126","6","mitogen-activated protein kinase kinase 2","protein-coding","Os06g0147800","LOC_Os06g05520"
"21444","9269917","LOC9269917","6","nuclear speckle RNA-binding protein A","protein-coding","Os06g0148000","LOC_Os06g05530"
"21445","4340128","LOC4340128","6","GDSL esterase/lipase APG","protein-coding","Os06g0148200","LOC_Os06g05550"
"21446","4340131","LOC4340131","6","uncharacterized LOC4340131","protein-coding","Os06g0148600","LOC_Os06g05580"
"21447","4340132","LOC4340132","6","uncharacterized LOC4340132","protein-coding","Os06g0148700","LOC_Os06g05590"
"21448","4340134","LOC4340134","6","uncharacterized LOC4340134","protein-coding","Os06g0148900","LOC_Os06g05610"
"21449","4340135","LOC4340135","6","GDSL esterase/lipase APG","protein-coding","Os06g0149100","LOC_Os06g05630"
"21450","107278192","LOC107278192","6","uncharacterized LOC107278192","protein-coding","Os06g0149200","LOC_Os06g05640"
"21451","4340137","LOC4340137","6","nucleosome assembly protein 1;1-like","protein-coding","Os06g0149400","LOC_Os06g05660"
"21452","4340138","LOC4340138","6","uncharacterized LOC4340138","protein-coding","Os06g0149500","LOC_Os06g05670"
"21453","4340140","LOC4340140","6","cysteine synthase-like","protein-coding","Os06g0149700","LOC_Os06g05690"
"21454","4340142","LOC4340142","6","cysteine synthase-like","protein-coding","Os06g0149900","LOC_Os06g05700"
"21455","107277586","LOC107277586","6","uncharacterized LOC107277586","protein-coding","Os06g0150000","LOC_Os06g05710"
"21456","4340143","LOC4340143","6","uncharacterized LOC4340143","protein-coding","Os06g0150100","LOC_Os06g05720"
"21457","9266545","LOC9266545","6","uncharacterized LOC9266545","protein-coding","Os06g0150300","LOC_Os06g05730"
"21458","4340145","LOC4340145","6","uncharacterized LOC4340145","protein-coding","Os06g0150400","LOC_Os06g05740"
"21459","9267114","LOC9267114","6","putrescine hydroxycinnamoyltransferase 1-like","protein-coding","Os06g0150600","LOC_Os06g05750"
"21460","4340148","LOC4340148","6","rosmarinate synthase","protein-coding","Os06g0151100","LOC_Os06g05790"
"21461","4340149","LOC4340149","6","RNA-binding protein with multiple splicing 2","protein-coding","Os06g0151200","LOC_Os06g05800"
"21462","9266914","LOC9266914","6","trafficking protein particle complex subunit 4","protein-coding","Os06g0151300","LOC_Os06g05804"
"21463","4340150","LOC4340150","6","DNA repair protein RadA","protein-coding","Os06g0151600","LOC_Os06g05820"
"21464","4340151","LOC4340151","6","putative serine/threonine-protein kinase-like protein CCR3","protein-coding","Os06g0151700","LOC_Os06g05830"
"21465","4340153","LOC4340153","6","ATP-dependent 6-phosphofructokinase 3","protein-coding","Os06g0151900","LOC_Os06g05860"
"21466","4340154","LOC4340154","6","putative dual specificity protein phosphatase DSP8","protein-coding","Os06g0152000","LOC_Os06g05870"
"21467","4340155","LOC4340155","6","profilin LP04-like","protein-coding","Os06g0152100","LOC_Os06g05880"
"21468","4340156","LOC4340156","6","B-box zinc finger protein 22","protein-coding","Os06g0152200","LOC_Os06g05890"
"21469","4340157","LOC4340157","6","ubiquinone biosynthesis O-methyltransferase, mitochondrial","protein-coding","Os06g0152300","LOC_Os06g05900"
"21470","4340158","LOC4340158","6","ubiquinone biosynthesis O-methyltransferase, mitochondrial","protein-coding","Os06g0152400","LOC_Os06g05910"
"21471","4340159","LOC4340159","6","pentatricopeptide repeat-containing protein At5g39710","protein-coding","Os06g0152500","LOC_Os06g05920"
"21472","4340161","LOC4340161","6","protein O-glucosyltransferase 1","protein-coding","Os06g0152700","LOC_Os06g05940"
"21473","4340162","LOC4340162","6","uncharacterized LOC4340162","protein-coding","Os06g0152800","LOC_Os06g05950"
"21474","107278611","LOC107278611","6","uncharacterized LOC107278611","protein-coding","Os06g0153000","LOC_Os06g05960"
"21475","4340163","LOC4340163","6","probable sugar phosphate/phosphate translocator At1g06470","protein-coding","Os06g0153200","LOC_Os06g05980"
"21476","107277456","LOC107277456","6","uncharacterized LOC107277456","protein-coding","Os06g0153300","LOC_Os06g05990"
"21477","4340165","LOC4340165","6","uncharacterized LOC4340165","protein-coding","Os06g0153600","LOC_Os06g06014"
"21478","4340166","LOC4340166","6","proteasome subunit beta type-5-A","protein-coding","Os06g0153800","LOC_Os06g06030"
"21479","4340167","LOC4340167","6","probable thiol methyltransferase 2","protein-coding","Os06g0153900","LOC_Os06g06040"
"21480","9272469","LOC9272469","6","F-box/LRR-repeat MAX2 homolog","protein-coding","Os06g0154200","LOC_Os06g06050"
"21481","4340169","LOC4340169","6","putative lipase YDR444W","protein-coding","Os06g0154400","LOC_Os06g06080"
"21482","4340170","LOC4340170","6","mitogen-activated protein kinase 1-like","protein-coding","Os06g0154500","LOC_Os06g06090"
"21483","4340171","LOC4340171","6","dihydroneopterin aldolase 2","protein-coding","Os06g0154600","LOC_Os06g06100"
"21484","4340173","LOC4340173","6","E3 ubiquitin-protein ligase GW2","protein-coding","Os06g0154900","LOC_Os06g06120"
"21485","107277679","LOC107277679","6","glutamate receptor 2.1","protein-coding","Os06g0155000","LOC_Os06g06130"
"21486","107275917","LOC107275917","6","E3 ubiquitin-protein ligase EL5","protein-coding","Os06g0155200","LOC_Os06g06150"
"21487","4340174","LOC4340174","6","protein IQ-DOMAIN 1","protein-coding","Os06g0155300","LOC_Os06g06160"
"21488","4340175","LOC4340175","6","uncharacterized LOC4340175","protein-coding","Os06g0155400","LOC_Os06g06170"
"21489","4340176","LOC4340176","6","3'-N-debenzoyl-2'-deoxytaxol N-benzoyltransferase","protein-coding","Os06g0155500","LOC_Os06g06180"
"21490","4340177","LOC4340177","6","uncharacterized protein ycf45","protein-coding","Os06g0155600","LOC_Os06g06190"
"21491","107278615","LOC107278615","6","uncharacterized LOC107278615","protein-coding","Os06g0155750","None"
"21492","4340178","LOC4340178","6","uncharacterized LOC4340178","protein-coding","Os06g0155900","LOC_Os06g06210"
"21493","4340179","LOC4340179","6","GDSL esterase/lipase At5g45920","protein-coding","Os06g0156400","LOC_Os06g06230"
"21494","4340180","LOC4340180","6","GDSL esterase/lipase At5g45910","protein-coding","Os06g0156600","LOC_Os06g06250"
"21495","4340181","LOC4340181","6","GDSL esterase/lipase At5g45910","protein-coding","Os06g0156700","LOC_Os06g06260"
"21496","4340182","LOC4340182","6","probable beta-1,3-galactosyltransferase 14","protein-coding","Os06g0156900","LOC_Os06g06280"
"21497","4340183","LOC4340183","6","GDSL esterase/lipase At5g45910","protein-coding","Os06g0157000","LOC_Os06g06290"
"21498","4340184","LOC4340184","6","protein RICE FLOWERING LOCUS T 1-like","protein-coding","Os06g0157500","LOC_Os06g06300"
"21499","4340185","LOC4340185","6","protein HEADING DATE 3A-like","protein-coding","Os06g0157700","LOC_Os06g06320"
"21500","4340186","LOC4340186","6","succinate dehydrogenase assembly factor 4, mitochondrial","protein-coding","Os06g0157800","LOC_Os06g06330"
"21501","107276613","LOC107276613","6","non-specific lipid-transfer protein","protein-coding","Os06g0157900","LOC_Os06g06340"
"21502","4340187","LOC4340187","6","long chain acyl-CoA synthetase 4","protein-coding","Os06g0158000","LOC_Os06g06350"
"21503","4340188","LOC4340188","6","probable WRKY transcription factor 30","protein-coding","Os06g0158100","LOC_Os06g06360"
"21504","9267276","LOC9267276","6","protein-tyrosine sulfotransferase","protein-coding","Os06g0158200","LOC_Os06g06370"
"21505","4340190","LOC4340190","6","disease resistance protein PIK6-NP-like","protein-coding","Os06g0158300","LOC_Os06g06380"
"21506","4340192","LOC4340192","6","rRNA-processing protein FCF1 homolog","protein-coding","Os06g0158600","LOC_Os06g06410"
"21507","4340193","LOC4340193","6","uncharacterized LOC4340193","protein-coding","Os06g0158700","LOC_Os06g06420"
"21508","4340194","LOC4340194","6","uncharacterized LOC4340194","protein-coding","Os06g0158800","LOC_Os06g06430"
"21509","4340195","LOC4340195","6","ABC transporter C family member 10","protein-coding","Os06g0158900","LOC_Os06g06440"
"21510","4340197","LOC4340197","6","U-box domain-containing protein 70-like","protein-coding","Os06g0159400","LOC_Os06g06450"
"21511","4340199","LOC4340199","6","U-box domain-containing protein 70-like","protein-coding","Os06g0159600","LOC_Os06g06470"
"21512","9266481","LOC9266481","6","histone H3.2","protein-coding","Os06g0159725","LOC_Os06g06480"
"21513","4340201","LOC4340201","6","U-box domain-containing protein 70-like","protein-coding","Os06g0159900","LOC_Os06g06490"
"21514","9271591","LOC9271591","6","histone H3.2","protein-coding","Os06g0160001","None"
"21515","4340203","LOC4340203","6","histone H3.2","protein-coding","Os06g0160100","LOC_Os06g06510"
"21516","4340204","LOC4340204","6","GDSL esterase/lipase At4g01130","protein-coding","Os06g0160200","LOC_Os06g06520"
"21517","4340205","LOC4340205","6","splicing factor 1","protein-coding","Os06g0160400","LOC_Os06g06530"
"21518","107277520","LOC107277520","6","ethylene-responsive transcription factor 11","protein-coding","Os06g0160500","LOC_Os06g06540"
"21519","4340206","LOC4340206","6","uncharacterized LOC4340206","protein-coding","Os06g0160600","LOC_Os06g06550"
"21520","9269493","LOC9269493","6","soluble starch synthase 1, chloroplastic/amyloplastic-like","protein-coding","Os06g0160700","LOC_Os06g06560"
"21521","4340208","LOC4340208","6","uncharacterized LOC4340208","protein-coding","Os06g0160800","LOC_Os06g06570"
"21522","107278189","LOC107278189","6","uncharacterized LOC107278189","protein-coding","Os06g0161100","LOC_Os06g06580"
"21523","4340210","LOC4340210","6","F-box/FBD/LRR-repeat protein At1g13570","protein-coding","Os06g0161300","LOC_Os06g06600"
"21524","4340211","LOC4340211","6","uncharacterized LOC4340211","protein-coding","Os06g0161400","LOC_Os06g06610"
"21525","4340212","LOC4340212","6","uncharacterized LOC4340212","protein-coding","Os06g0161800","LOC_Os06g06660"
"21526","4340213","LOC4340213","6","uncharacterized LOC4340213","protein-coding","Os06g0161900","LOC_Os06g06670"
"21527","107277928","LOC107277928","6","uncharacterized LOC107277928","protein-coding","Os06g0162100","LOC_Os06g06680"
"21528","4340216","LOC4340216","6","probable 2-oxoglutarate-dependent dioxygenase ANS","protein-coding","Os06g0162500","LOC_Os06g06720"
"21529","107275952","LOC107275952","6","carotenoid 9,10(9',10')-cleavage dioxygenase 1","protein-coding","Os06g0162550","None"
"21530","4340217","LOC4340217","6","methyltransferase-like protein 5","protein-coding","Os06g0162600","LOC_Os06g06730"
"21531","9270835","LOC9270835","6","transcription factor MYB119","protein-coding","Os06g0162700","LOC_Os06g06740"
"21532","4340218","LOC4340218","6","MADS-box transcription factor 5-like","protein-coding","Os06g0162800","LOC_Os06g06750"
"21533","4340220","LOC4340220","6","U-box domain-containing protein 70-like","protein-coding","Os06g0163000","LOC_Os06g06760"
"21534","4340221","LOC4340221","6","putative esterase YitV","protein-coding","Os06g0163200","LOC_Os06g06770"
"21535","4340222","LOC4340222","6","uncharacterized LOC4340222","protein-coding","Os06g0163300","LOC_Os06g06780"
"21536","4340223","LOC4340223","6","protein disulfide isomerase-like 1-5","protein-coding","Os06g0163400","LOC_Os06g06790"
"21537","4340224","LOC4340224","6","subtilisin-like protease SBT6.1","protein-coding","Os06g0163500","LOC_Os06g06810"
"21538","4340225","LOC4340225","6","proline iminopeptidase","protein-coding","Os06g0163600","LOC_Os06g06820"
"21539","4340226","LOC4340226","6","disease resistance protein PIK6-NP-like","protein-coding","Os06g0163900","LOC_Os06g06860"
"21540","4340227","LOC4340227","6","E4 SUMO-protein ligase PIAL1","protein-coding","Os06g0164000","LOC_Os06g06870"
"21541","4340228","LOC4340228","6","serine/threonine-protein phosphatase PP1","protein-coding","Os06g0164100","LOC_Os06g06880"
"21542","4340229","LOC4340229","6","transcription factor PHYTOCHROME INTERACTING FACTOR-LIKE 15-like","protein-coding","Os06g0164400","LOC_Os06g06900"
"21543","4340230","LOC4340230","6","protein ALP1-like","protein-coding","Os06g0164500","LOC_Os06g06910"
"21544","4340233","LOC4340233","6","putative receptor protein kinase ZmPK1","protein-coding","Os06g0164900","LOC_Os06g06930"
"21545","4340237","LOC4340237","6","uncharacterized LOC4340237","protein-coding","Os06g0165300","LOC_Os06g06950"
"21546","4340238","LOC4340238","6","putative receptor protein kinase ZmPK1","protein-coding","Os06g0165500","LOC_Os06g06960"
"21547","4340240","LOC4340240","6","caffeoyl-CoA O-methyltransferase 1","protein-coding","Os06g0165800","LOC_Os06g06980"
"21548","4340241","LOC4340241","6","F-box protein At5g67140","protein-coding","Os06g0166000","LOC_Os06g07000"
"21549","4340242","LOC4340242","6","protein FAR1-RELATED SEQUENCE 5","protein-coding","Os06g0166100","LOC_Os06g07010"
"21550","4340243","LOC4340243","6","uncharacterized LOC4340243","protein-coding","Os06g0166200","LOC_Os06g07020"
"21551","4340244","LOC4340244","6","ethylene-responsive transcription factor RAP2-9","protein-coding","Os06g0166400","LOC_Os06g07030"
"21552","4340245","LOC4340245","6","auxin-responsive protein IAA20-like","protein-coding","Os06g0166500","LOC_Os06g07040"
"21553","4340247","LOC4340247","6","PTI1-like tyrosine-protein kinase At3g15890","protein-coding","Os06g0166900","LOC_Os06g07070"
"21554","4340248","LOC4340248","6","pre-mRNA-processing-splicing factor 8A","protein-coding","Os06g0167000","LOC_Os06g07080"
"21555","4340249","LOC4340249","6","AP-1 complex subunit gamma-2","protein-coding","Os06g0167100","LOC_Os06g07090"
"21556","4340250","LOC4340250","6","RING-H2 finger protein ATL46","protein-coding","Os06g0167200","LOC_Os06g07100"
"21557","4340251","LOC4340251","6","dehydrodolichyl diphosphate synthase 6","protein-coding","Os06g0167400","LOC_Os06g07120"
"21558","4340252","LOC4340252","6","probable LRR receptor-like serine/threonine-protein kinase At1g56130","protein-coding","Os06g0167500","LOC_Os06g07130"
"21559","4340253","LOC4340253","6","proteasome subunit alpha type-4-2-like","protein-coding","Os06g0167600","LOC_Os06g07140"
"21560","107277937","LOC107277937","6","uncharacterized LOC107277937","protein-coding","Os06g0167800","LOC_Os06g07150"
"21561","4340255","LOC4340255","6","mitochondrial outer membrane import complex protein METAXIN","protein-coding","Os06g0168000","LOC_Os06g07160"
"21562","4340256","LOC4340256","6","DNA-directed RNA polymerase I subunit rpa43","protein-coding","Os06g0168400","LOC_Os06g07190"
"21563","4340257","LOC4340257","6","syntaxin-132","protein-coding","Os06g0168500","LOC_Os06g07200"
"21564","4340258","LOC4340258","6","ribonucleoside-diphosphate reductase large subunit","protein-coding","Os06g0168600","LOC_Os06g07210"
"21565","4340259","LOC4340259","6","36.4 kDa proline-rich protein","protein-coding","Os06g0168700","LOC_Os06g07220"
"21566","4340260","LOC4340260","6","probable serine/threonine-protein kinase PIX7","protein-coding","Os06g0168800","LOC_Os06g07230"
"21567","9269080","LOC9269080","6","uncharacterized LOC9269080","protein-coding","Os06g0168901","LOC_Os06g07240"
"21568","9266659","LOC9266659","6","protein GOS9","protein-coding","Os06g0169001","LOC_Os06g07250"
"21569","9270668","LOC9270668","6","putative wall-associated receptor kinase-like 16","protein-coding","Os06g0170100","LOC_Os06g07330"
"21570","4340263","LOC4340263","6","zinc finger CCCH domain-containing protein 40-like","protein-coding","Os06g0170500","LOC_Os06g07350"
"21571","107281205","LOC107281205","6","uncharacterized LOC107281205","protein-coding","Os06g0170800","LOC_Os06g07400"
"21572","112939438","LOC112939438","6","F-box/kelch-repeat protein At3g23880-like","protein-coding","Os06g0171400","LOC_Os06g07460"
"21573","4340266","LOC4340266","6","uncharacterized LOC4340266","protein-coding","Os06g0171500","LOC_Os06g07470"
"21574","4340267","LOC4340267","6","ALBINO3-like protein 2, chloroplastic","protein-coding","Os06g0171600","LOC_Os06g07474"
"21575","4340268","LOC4340268","6","uncharacterized LOC4340268","protein-coding","Os06g0171700","LOC_Os06g07480"
"21576","4340269","LOC4340269","6","fanconi-associated nuclease 1 homolog","protein-coding","Os06g0171800","LOC_Os06g07490"
"21577","4340270","LOC4340270","6","uncharacterized WD repeat-containing protein C2A9.03","protein-coding","Os06g0171900","LOC_Os06g07540"
"21578","4340271","LOC4340271","6","pentatricopeptide repeat-containing protein At5g48730, chloroplastic","protein-coding","Os06g0172000","LOC_Os06g07550"
"21579","4340272","LOC4340272","6","probable calcium-binding protein CML30","protein-coding","Os06g0172200","LOC_Os06g07560"
"21580","107278514","LOC107278514","6","uncharacterized LOC107278514","protein-coding","Os06g0172400","None"
"21581","4340273","LOC4340273","6","40S ribosomal protein S30","protein-coding","Os06g0172600","LOC_Os06g07580"
"21582","4340274","LOC4340274","6","probable galactinol--sucrose galactosyltransferase 6","protein-coding","Os06g0172800","LOC_Os06g07600"
"21583","4340275","LOC4340275","6","uncharacterized LOC4340275","protein-coding","Os06g0173000","LOC_Os06g07620"
"21584","4340276","LOC4340276","6","26S proteasome regulatory subunit 6A homolog","protein-coding","Os06g0173100","LOC_Os06g07630"
"21585","107275902","LOC107275902","6","transcription factor SRM1","protein-coding","Os06g0173800","LOC_Os06g07700"
"21586","9268874","LOC9268874","6","sulfiredoxin, chloroplastic/mitochondrial","protein-coding","Os06g0174300","LOC_Os06g07760"
"21587","9270574","LOC9270574","6","uncharacterized LOC9270574","protein-coding","Os06g0174350","LOC_Os06g07770"
"21588","9266450","LOC9266450","6","uncharacterized LOC9266450","protein-coding","Os06g0174375","LOC_Os06g07770"
"21589","4340278","LOC4340278","6","vesicle-associated membrane protein 711","protein-coding","Os06g0174400","LOC_Os06g07780"
"21590","4340280","LOC4340280","6","uncharacterized LOC4340280","protein-coding","Os06g0174800","LOC_Os06g07790"
"21591","112939313","LOC112939313","6","uncharacterized LOC112939313","protein-coding","Os06g0174900","LOC_Os06g07800"
"21592","4340281","LOC4340281","6","uncharacterized LOC4340281","protein-coding","Os06g0175400","LOC_Os06g07820"
"21593","4340282","LOC4340282","6","putative clathrin assembly protein At5g35200","protein-coding","Os06g0175500","LOC_Os06g07830"
"21594","4340283","LOC4340283","6","cystathionine beta-lyase, chloroplastic","protein-coding","Os06g0175800","LOC_Os06g07860"
"21595","4340284","LOC4340284","6","cytochrome b-c1 complex subunit 8","protein-coding","Os06g0175900","LOC_Os06g07869"
"21596","4340285","LOC4340285","6","proteasome subunit alpha type-4-1","protein-coding","Os06g0176000","LOC_Os06g07878"
